ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision
1,6450,41.973348139922265,0.27484730705163796,0.9466962798445309,0.5243383305570979,0.03980870406739943,Alta,1801,NA,FALSE,Varianza no estimable
2,7740,45.55810601020182,0.25349301397205587,0.5608782435129741,0.36379093664522805,0.03119416940922057,Media,18036,NA,FALSE,Varianza no estimable
3,6450,41.724201930215294,0.06050482553823311,0.49888641425389757,0.31724820588963126,0.04645761631608174,Baja,2694,NA,FALSE,Varianza no estimable
4,4300,37.79153354632588,0.32348242811501593,0.742811501597444,0.6240681576144834,0.028802245787478944,Alta,1252,NA,FALSE,Varianza no estimable
5,8170,37.01119592875318,0.07226463104325699,0.4608142493638677,0.2558100084817642,0.11667182672795175,Baja,3930,NA,FALSE,Varianza no estimable
6,7740,43.19975737970077,0.3182369591589163,0.6546704407602103,0.45994518578424765,0.03188833202449957,Alta,7419,NA,FALSE,Varianza no estimable
7,6880,44.299039301310046,0.14864628820960699,0.5865502183406114,0.3227365356622998,0.050045708120460455,Media,5725,NA,FALSE,Varianza no estimable
8,6450,57.34495370899532,0.5102297405417762,0.9007886615613213,0.6313864441650474,0.08794688622524968,Alta,8749,NA,FALSE,Varianza no estimable
9,0,39.84310441094361,0.04690117252931323,1,0.5559277870835659,0.1076824322428519,Alta,1791,NA,FALSE,Varianza no estimable
10,4300,32.56401944894652,0.25472717450027016,0.6539708265802269,0.49711867459031156,0.09147611330541194,Alta,3702,NA,FALSE,Varianza no estimable
11,5590,47.07256426623339,0.31639876980212384,0.6359600765972263,0.5041973732567361,0.04718604277130884,Alta,34466,NA,FALSE,Varianza no estimable
12,2580,27.73960284750843,0.12114399900087423,1,0.6952666416885225,0.04026453050293487,Alta,8007,NA,FALSE,Varianza no estimable
13,2580,30.728012120245594,0.08946654971692848,1,0.6777237328230072,0.011200332569320848,Alta,12541,NA,FALSE,Varianza no estimable
14,7310,41.01297061132539,0.08799535788647302,0.36123152541215825,0.2135030890534867,0.041808895255072226,Baja,58594,NA,FALSE,Varianza no estimable
15,5590,42.260740740740744,0.13152263374485598,0.9941152263374486,0.5479149519890261,0.09294835019980698,Alta,24300,NA,FALSE,Varianza no estimable
16,6450,37.468981764243956,0.022929936305732486,0.8335398307303028,0.4161824157287031,0.04932258256108225,Media,57305,NA,FALSE,Varianza no estimable
17,3870,44.90308676307008,0.15475528364849833,0.78559510567297,0.5825454208379681,0.053802255258359286,Alta,7192,NA,FALSE,Varianza no estimable
18,7525,43.19601074031454,0.1308016877637131,0.3456079785193709,0.2724715509525636,0.06703677696218092,Baja,2607,NA,FALSE,Varianza no estimable
19,6020,47.9609796596098,0.33499377334993774,0.33499377334993774,0.4590655412573221,0.09241824559481554,Media,7227,NA,FALSE,Varianza no estimable
20,2580,26.299883684043564,0.08956328645447817,1,0.6204927566881675,0.03119545851544063,Alta,9457,NA,FALSE,Varianza no estimable
21,3096,34.463769219059216,0.12637641447201503,0.9292637134013295,0.6329899697231102,0.019361135326239783,Alta,39414,NA,FALSE,Varianza no estimable
22,6450,47.75688073394495,0.36071726438698914,0.5642201834862385,0.4721990547678621,0.04343959678414926,Alta,4796,NA,FALSE,Varianza no estimable
23,6000,27.348004094165812,0,1,0.5015353121801432,0.06349957977165746,Alta,977,NA,FALSE,Varianza no estimable
24,5160,41.086849432426646,0.21696294709787964,0.7368815592203898,0.5414435639323195,0.061829846808931936,Alta,9338,NA,FALSE,Varianza no estimable
25,6450,40.74628682736791,0.09495982468955443,0.31393555717880045,0.2880718556394232,0.0438000026992544,Media,24642,NA,FALSE,Varianza no estimable
26,6880,42.409241190226595,0.171357148617047,0.5686234981049916,0.3634653119372093,0.056654170064736165,Media,24802,NA,FALSE,Varianza no estimable
27,3440,27.91926516799613,0.14744984288131496,0.8015470147449842,0.5835146241237611,0.042647021127551615,Alta,4137,NA,FALSE,Varianza no estimable
28,6000,33.51830522418758,0.2821883998354586,0.7178116001645414,0.5726038667215138,0.052184616758381146,Alta,2431,NA,FALSE,Varianza no estimable
29,3870,41.57903780068729,0.28665521191294385,0.8719931271477663,0.678598701794578,0.03970610889066397,Alta,3492,NA,FALSE,Varianza no estimable
30,4300,31.841319322238423,0.10116144602544119,0.8270903514505505,0.5880302344679639,0.05547377422713802,Alta,19889,NA,FALSE,Varianza no estimable
31,6450,41.21837026447462,0.31272337383845605,0.5453895639742673,0.43971884679532997,0.13170820676995593,Alta,2798,NA,FALSE,Varianza no estimable
32,5375,36.353540950903245,0.1631386456832539,0.9358306549927962,0.5915623037422882,0.02400251881505313,Alta,9023,NA,FALSE,Varianza no estimable
