grupo_agro_sexo_jornal,poblacion,porcentaje
Hombres jornaleros,2634070,0.381366361427251
Hombres no jornaleros,3256148,0.4714321620263017
Mujeres jornaleras,422534,0.06117538795829347
Mujeres no jornaleras,594176,0.0860260885881538
