cve_ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision
1,6000,44.126254180602004,0.17474916387959866,0.782608695652174,0.6059085841694537,0.04141695226874199,Alta,2392,NA,FALSE,Varianza no estimable
2,9460,42.94357173881569,0.22882582886926306,0.5551614304328941,0.40232131653877706,0.03481750029722845,Media,27628,NA,FALSE,Varianza no estimable
3,8600,42.275545350172216,0.11710677382319173,0.3457438084303756,0.27095292766934553,0.05896449934756641,Baja,6097,NA,FALSE,Varianza no estimable
4,4128,35.43366834170854,0.2135678391959799,0.6914572864321608,0.5281407035175879,0.09596243082018645,Alta,1990,NA,FALSE,Varianza no estimable
5,8600,40.80516194331984,0.1571356275303644,0.4276315789473684,0.3507085020242915,0.1186845705800279,Alta,3952,NA,FALSE,Varianza no estimable
6,7525,37.588102209209474,0.1603673143465531,0.7406175139739154,0.4920592671457723,0.03511567998659779,Alta,7514,NA,FALSE,Varianza no estimable
7,5375,31.11702889897301,0.11081920229281109,0.8846429424408885,0.6599793010110659,0.005332791989430091,Alta,4187,NA,FALSE,Varianza no estimable
8,7740,39.494693323460446,0.11582130075280761,0.7339874120696038,0.48015138426097326,0.06648792296589962,Alta,16206,NA,FALSE,Varianza no estimable
9,6000,22.202643171806166,0,1,0.6666666666666666,0,Alta,227,NA,FALSE,Baja cobertura poblacional
10,7310,41.04892576047649,0.2510104233141885,0.6528398213146139,0.4803233354605403,0.09067852318311564,Alta,4701,NA,FALSE,Varianza no estimable
11,6450,38.78041067588649,0.16102373824682717,0.5684530083906059,0.5157763067279447,0.04216066831640065,Alta,23717,NA,FALSE,Varianza no estimable
12,3225,23.198088157195965,0.15206231191361302,0.9553903345724908,0.6876143270195315,0.046640082401214915,Alta,5649,NA,FALSE,Varianza no estimable
13,3010,27.414306049822063,0.08355871886120997,0.92355871886121,0.6490391459074734,0.030870093846763667,Alta,14050,NA,FALSE,Varianza no estimable
14,6880,41.97151043356038,0.06252027246188777,0.2971942912747324,0.3696796050023426,0.05143524882952332,Media,36996,NA,FALSE,Varianza no estimable
15,3225,39.802899193846606,0.1692429060966891,0.9051105687449154,0.6801025565170229,0.021898374157192573,Alta,40563,NA,FALSE,Varianza no estimable
16,6966,34.37868125369604,0.02031342400946186,0.9228858663512715,0.5998817267888823,0.027052406612520393,Alta,33820,NA,FALSE,Varianza no estimable
17,0,44.51083299690486,0.17130937962589154,0.83205490512717,0.6677880949176871,0.04737491903554117,Alta,7431,NA,FALSE,Varianza no estimable
18,7740,37.086456622368225,0.23040167239062267,0.7249514708078244,0.5248121049226021,0.05734559361954161,Alta,6697,NA,FALSE,Varianza no estimable
19,9000,41.92123132639203,0.37120869171570847,0.12992304210049796,0.18681152859514108,0.06180737617588651,Media,2209,NA,FALSE,Varianza no estimable
20,2580,24.0224288033053,0,0.9371403275785747,0.6247602183857164,0.04092454659823849,Alta,6777,NA,FALSE,Varianza no estimable
21,4300,37.21496513884563,0.15561731796727124,0.8814001964683614,0.6539840748815998,0.03505341688697534,Alta,41737,NA,FALSE,Varianza no estimable
22,7740,47.972289573952196,0.35478004849324557,0.3726186352615172,0.491484816995728,0.11703377756844449,Media,11548,NA,FALSE,Varianza no estimable
23,6450,41.08895899053628,0.41198738170347005,0.4719242902208202,0.4906414300736067,0.07657812913403624,Media,1585,NA,FALSE,Varianza no estimable
24,5366,30.662862953338607,0.07253417692916055,0.7601400971641623,0.5569615486009113,0.05336846071290479,Alta,8851,NA,FALSE,Varianza no estimable
25,6020,35.591815235008106,0.020826580226904375,0.6918962722852512,0.4963263101026472,0.055980586291335295,Alta,12340,NA,FALSE,Varianza no estimable
26,9030,39.502532574143295,0.07318265972683131,0.5570265832954903,0.3322970156379176,0.040530912182229796,Media,28627,NA,FALSE,Varianza no estimable
27,6020,30.668121000581735,0,0.8723094822571262,0.5372309482257126,0.059371266991443725,Alta,3438,NA,FALSE,Varianza no estimable
28,5375,37.83697537287548,0.03884842178286507,0.901491501907735,0.5468840328361659,0.09271584591032671,Alta,2883,NA,FALSE,Varianza no estimable
29,5160,33.77668631303209,0.07356472385941934,0.7594411700502074,0.6036527686822382,0.03636074877476423,Alta,4581,NA,FALSE,Varianza no estimable
30,3870,29.857054917996745,0.008266279734423778,0.8828210878072374,0.5875947177886236,0.03576507650373086,Alta,22743,NA,FALSE,Varianza no estimable
31,6450,38.86117936117936,0.09172809172809172,0.3865683865683866,0.4025389025389025,0.10530061670001513,Alta,2442,NA,FALSE,Varianza no estimable
32,4644,30.528365685660614,0.02705072010018785,1,0.6756835733667292,0.00899434935027991,Alta,7985,NA,FALSE,Varianza no estimable
