grupo_agro_sexo_jornal,poblacion,porcentaje
Hombres jornaleros,2482251,0.37431666219301446
Hombres no jornaleros,3198782,0.4823675773816166
Mujeres jornaleras,401563,0.060554602181734835
Mujeres no jornaleras,548824,0.0827611582436341
