grupo,ingreso_mediana,ingreso_mediana_li,ingreso_mediana_ls,ingreso_media,ingreso_media_li,ingreso_media_ls,horas_media,horas_media_li,horas_media_ls,horas_mediana,horas_mediana_li,horas_mediana_ls,prop_sobrejornada,prop_sin_ss,poblacion
Mujeres jornaleras agrícolas,6020,5200,6450,5538.998641529439,5181.568949375967,5896.42833368291,39.7143543478158,38.30056895148621,41.128139744145386,45,45,48,0.15144343413784453,0.6952197929634065,422534
Hombres jornaleros agrícolas,5160,5160,5590,5518.5621957654885,5351.384131074447,5685.7402604565295,39.91861567839883,39.214369172401206,40.62286218439645,42,42,45,0.18529537939386576,0.8586130968425288,2634070
