ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision
1,4300,41.352398523985244,0.2607626076260763,0.8013530135301353,0.5612956129561295,0.05558850009295138,Alta,1626,NA,FALSE,Varianza no estimable
2,8170,39.880577607445936,0.17335067068163154,0.4544210238160416,0.36200839492654435,0.033142951414241735,Media,14612,NA,FALSE,Varianza no estimable
3,7740,40.64237106017192,0.09115329512893983,0.478689111747851,0.34019818529130846,0.06576974345176735,Alta,5584,NA,FALSE,Varianza no estimable
4,6000,39.11111111111111,0.3177476118652589,0.8602312719959779,0.5602480308362661,0.06806975321309898,Alta,1989,NA,FALSE,Varianza no estimable
5,8600,40.00581113801453,0.35786924939467313,0.4595641646489104,0.4261501210653753,0.09196689181031548,Alta,2065,NA,FALSE,Varianza no estimable
6,7740,40.457778369738946,0.23614810868407032,0.7072456046883324,0.4565352512875155,0.045262754521155,Alta,7508,NA,FALSE,Varianza no estimable
7,4500,42.74246438032505,0.21987542063435242,0.7664494880790435,0.6423713037874991,0.01913402874008572,Alta,13967,NA,FALSE,Varianza no estimable
8,7310,41.09262915432708,0.19825600526488976,0.7979598552155314,0.5157398266973785,0.04773946987070644,Alta,18234,NA,FALSE,Varianza no estimable
9,0,55.4369247428262,0.8722252301028695,1,0.9574084100342898,0.04616413134718229,Alta,1847,NA,FALSE,Varianza no estimable
10,6000,39.3019899103139,0.1984304932735426,0.46818946188340804,0.40503550074738415,0.07826100557587551,Alta,7136,NA,FALSE,Varianza no estimable
11,5805,41.449898355931865,0.23340635916868968,0.5507529555726607,0.4982138275406082,0.05128425144821423,Alta,50667,NA,FALSE,Varianza no estimable
12,1290,17.04461087593618,0,1,0.6666666666666666,0,Alta,3071,NA,FALSE,Varianza no estimable
13,3225,27.650121922441596,0.20089671989302288,0.9526468968772123,0.6922572694617058,0.019115872434874195,Alta,12713,NA,FALSE,Varianza no estimable
14,7654,41.71871791748595,0.03393133689467365,0.5742052236858132,0.3693179511272744,0.04834407514739478,Media,57469,NA,FALSE,Varianza no estimable
15,4300,42.64256118712662,0.12314511466563888,0.9142898439005589,0.6511209610072589,0.030766560033519266,Alta,20756,NA,FALSE,Varianza no estimable
16,6450,33.36816723863356,0.11376533656326403,0.8732252203754794,0.5541125541125541,0.027555552974965838,Alta,44583,NA,FALSE,Varianza no estimable
17,0,40.93922222222222,0.1322222222222222,0.7344444444444445,0.5987407407407407,0.05609667112493664,Alta,9000,NA,FALSE,Varianza no estimable
18,7740,34.56827111984283,0.08079567779960709,0.8023084479371316,0.4305828421741978,0.05106223966966982,Alta,4072,NA,FALSE,Varianza no estimable
19,6450,38.94492627927147,0.0745880312228968,0.5442324371205551,0.4396501879155825,0.10009451118989,Alta,4612,NA,FALSE,Varianza no estimable
20,3010,14.783964962459779,0.11458705756167323,1,0.6727446073173639,0.03612184016083699,Alta,11188,NA,FALSE,Varianza no estimable
21,3225,34.558797489523286,0.06541798650323646,0.8508666653550279,0.5734288206399486,0.045355483710686775,Alta,50827,NA,FALSE,Varianza no estimable
22,6450,44.37224475401164,0.15958384764591782,0.45635690354434844,0.42050196908246634,0.06890780618839122,Alta,5671,NA,FALSE,Varianza no estimable
23,1720,14.269476372924649,0,1,0.5862068965517241,0.0748380084893736,Alta,783,NA,FALSE,Varianza no estimable
24,5160,33.99880985718286,0.09920190422850743,0.7525203024362924,0.5095678148044432,0.0477137720176656,Alta,14284,NA,FALSE,Varianza no estimable
25,5160,33.57687494786018,0.029531992992408444,0.5909735546842413,0.4227079335947276,0.05225568106346617,Media,11987,NA,FALSE,Varianza no estimable
26,8600,41.304280755881216,0.09779075533028483,0.543496226103245,0.32683231410574254,0.05698992911622051,Baja,18151,NA,FALSE,Varianza no estimable
27,5160,37.56946624803768,0.2607927786499215,0.8567503924646782,0.5824175824175823,0.05862789741142958,Alta,5096,NA,FALSE,Varianza no estimable
28,4300,25.3298689561681,0.184365115228197,0.7234523271577045,0.5437565898478687,0.12094126449507944,Alta,4426,NA,FALSE,Varianza no estimable
29,4128,39.342247243725076,0.12854797091250292,0.8714520290874971,0.6592384080068808,0.02251450738272664,Alta,4263,NA,FALSE,Varianza no estimable
30,3870,29.699169781364734,0.08675950120729004,0.9336817384976681,0.6543732565959933,0.033956972977703885,Alta,30233,NA,FALSE,Varianza no estimable
31,4300,40.27725118483412,0.1853080568720379,0.5471563981042654,0.5158767772511849,0.06212037646093136,Alta,4220,NA,FALSE,Varianza no estimable
32,5375,33.07902147131291,0.1129883843717001,0.8892115452305526,0.6470432946145723,0.027364928602112384,Alta,11364,NA,FALSE,Varianza no estimable
