grupo,ingreso_mediana,ingreso_mediana_li,ingreso_mediana_ls,ingreso_media,ingreso_media_li,ingreso_media_ls,horas_media,horas_media_li,horas_media_ls,horas_mediana,horas_mediana_li,horas_mediana_ls,prop_sobrejornada,prop_sin_ss,poblacion
Mujeres jornaleras agrícolas,6400,5375,6450,5850.159163070302,5449.825528176349,6250.492797964256,37.43759509715785,35.83926635906064,39.03592383525507,42,40,45,0.11927144682154481,0.7132878278128214,454004
Hombres jornaleros agrícolas,5375,5160,6000,5771.911652676148,5608.536761645501,5935.286543706795,39.32764481521614,38.65248768879829,40.00280194163399,42,42,45,0.17731326444530454,0.857709369391385,2733518
