grupo,ingreso_mediana,ingreso_mediana_li,ingreso_mediana_ls,ingreso_media,ingreso_media_li,ingreso_media_ls,horas_media,horas_media_li,horas_media_ls,horas_mediana,horas_mediana_li,horas_mediana_ls,prop_sobrejornada,prop_sin_ss,poblacion
Mujeres jornaleras agrícolas,6400,5375,6450,5850.159163070302,5449.825528176349,6250.492797964256,37.43759509715785,35.83926635906064,39.03592383525507,42,40,45,0.11927144682154481,0.7132878278128214,401563
Hombres jornaleros agrícolas,6020,5590,6450,6029.906963880768,5838.091602164008,6221.722325597528,39.11747401854204,38.46842689310394,39.76652114398014,42,42,45,0.16680585484707228,0.8612146797402841,2482251
