grupo,ingreso_mediana,ingreso_mediana_li,ingreso_mediana_ls,ingreso_media,ingreso_media_li,ingreso_media_ls,horas_media,horas_media_li,horas_media_ls,horas_mediana,horas_mediana_li,horas_mediana_ls,prop_sobrejornada,prop_sin_ss,poblacion,anio,trimestre,ingreso_mediana_real_2025,ingreso_mediana_li_real_2025,ingreso_mediana_ls_real_2025,ingreso_media_real_2025,ingreso_media_li_real_2025,ingreso_media_ls_real_2025
Mujeres jornaleras agrícolas,6020,5200,6450,5538.998641529439,5181.568949375967,5896.42833368291,39.7143543478158,38.30056895148621,41.128139744145386,45,45,48,0.1514434341378445,0.6952197929634065,422534,2023,3,6643.626595263663,5738.680779961968,7118.17135206821,6112.797123919316,5718.340411506075,6507.253836332556
Hombres jornaleros agrícolas,5160,5160,5590,5518.5621957654885,5351.384131074447,5685.7402604565295,39.91861567839883,39.214369172401206,40.62286218439645,42,42,45,0.1852953793938657,0.8586130968425288,2634070,2023,3,5694.537081654568,5694.537081654568,6169.081838459116,6090.243616512332,5905.747165228924,6274.7400677957385
Mujeres jornaleras agrícolas,6400,5375,6450,5850.159163070302,5449.825528176349,6250.492797964256,37.43759509715785,35.83926635906064,39.03592383525507,42,40,45,0.1192714468215448,0.7132878278128214,454004,2024,3,6732.799999665291,5654.499999718896,6785.399999662675,6154.367439244004,5733.216455356502,6575.518423131507
Hombres jornaleros agrícolas,5375,5160,6000,5771.911652676148,5608.536761645501,5935.286543706795,39.32764481521614,38.65248768879829,40.00280194163399,42,42,45,0.1773132644453045,0.857709369391385,2733518,2024,3,5654.499999718896,5428.319999730141,6311.99999968621,6072.051058313446,5900.18067295775,6243.921443669143
Mujeres jornaleras agrícolas,6400,5375,6450,5850.159163070302,5449.825528176349,6250.492797964256,37.43759509715785,35.83926635906064,39.03592383525507,42,40,45,0.1192714468215448,0.7132878278128214,401563,2025,3,6400.0,5375.0,6450.0,5850.159163070302,5449.825528176349,6250.492797964256
Hombres jornaleros agrícolas,6020,5590,6450,6029.906963880768,5838.091602164008,6221.722325597528,39.11747401854204,38.46842689310394,39.76652114398014,42,42,45,0.1668058548470722,0.8612146797402841,2482251,2025,3,6020.0,5590.0,6450.0,6029.906963880768,5838.091602164008,6221.722325597528
