ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision,anio,trimestre,ingreso_mediana_real_2025
17,0,40.93922222,0.132222222,0.734444444,0.598740741,0.056096671,Alta,9000,,False,Varianza no estimable,2024,3,0
18,7740,34.56827112,0.080795678,0.802308448,0.430582842,0.05106224,Alta,4072,,False,Varianza no estimable,2024,3,8142.48
19,6450,38.94492628,0.074588031,0.544232437,0.439650188,0.100094511,Alta,4612,,False,Varianza no estimable,2024,3,6785.4
20,3010,14.78396496,0.114587058,1,0.672744607,0.03612184,Alta,11188,,False,Varianza no estimable,2024,3,3166.52
21,3225,34.55879749,0.065417987,0.850866665,0.573428821,0.045355484,Alta,50827,,False,Varianza no estimable,2024,3,3392.7
22,6450,44.37224475,0.159583848,0.456356904,0.420501969,0.068907806,Alta,5671,,False,Varianza no estimable,2024,3,6785.4
23,1720,14.26947637,0,1,0.586206897,0.074838008,Alta,783,,False,Varianza no estimable,2024,3,1809.44
24,5160,33.99880986,0.099201904,0.752520302,0.509567815,0.047713772,Alta,14284,,False,Varianza no estimable,2024,3,5428.32
25,5160,33.57687495,0.029531993,0.590973555,0.422707934,0.052255681,Media,11987,,False,Varianza no estimable,2024,3,5428.32
26,8600,41.30428076,0.097790755,0.543496226,0.326832314,0.056989929,Baja,18151,,False,Varianza no estimable,2024,3,9047.2
27,5160,37.56946625,0.260792779,0.856750392,0.582417582,0.058627897,Alta,5096,,False,Varianza no estimable,2024,3,5428.32
28,4300,25.32986896,0.184365115,0.723452327,0.54375659,0.120941264,Alta,4426,,False,Varianza no estimable,2024,3,4523.6
29,4128,39.34224724,0.128547971,0.871452029,0.659238408,0.022514507,Alta,4263,,False,Varianza no estimable,2024,3,4342.656
30,3870,29.69916978,0.086759501,0.933681738,0.654373257,0.033956973,Alta,30233,,False,Varianza no estimable,2024,3,4071.24
31,4300,40.27725118,0.185308057,0.547156398,0.515876777,0.062120376,Alta,4220,,False,Varianza no estimable,2024,3,4523.6
32,5375,33.07902147,0.112988384,0.889211545,0.647043295,0.027364929,Alta,11364,,False,Varianza no estimable,2024,3,5654.5
1,6000,44.12625418,0.174749164,0.782608696,0.605908584,0.041416952,Alta,2392,,False,Varianza no estimable,2025,3,6000
2,9460,42.94357174,0.228825829,0.55516143,0.402321317,0.0348175,Media,27628,,False,Varianza no estimable,2025,3,9460
3,8600,42.27554535,0.117106774,0.345743808,0.270952928,0.058964499,Baja,6097,,False,Varianza no estimable,2025,3,8600
4,4128,35.43366834,0.213567839,0.691457286,0.528140704,0.095962431,Alta,1990,,False,Varianza no estimable,2025,3,4128
5,8600,40.80516194,0.157135628,0.427631579,0.350708502,0.118684571,Alta,3952,,False,Varianza no estimable,2025,3,8600
6,7525,37.58810221,0.160367314,0.740617514,0.492059267,0.03511568,Alta,7514,,False,Varianza no estimable,2025,3,7525
7,5375,31.1170289,0.110819202,0.884642942,0.659979301,0.005332792,Alta,4187,,False,Varianza no estimable,2025,3,5375
8,7740,39.49469332,0.115821301,0.733987412,0.480151384,0.066487923,Alta,16206,,False,Varianza no estimable,2025,3,7740
9,6000,22.20264317,0,1,0.666666667,0,Alta,227,,False,Baja cobertura poblacional,2025,3,6000
10,7310,41.04892576,0.251010423,0.652839821,0.480323335,0.090678523,Alta,4701,,False,Varianza no estimable,2025,3,7310
11,6450,38.78041068,0.161023738,0.568453008,0.515776307,0.042160668,Alta,23717,,False,Varianza no estimable,2025,3,6450
12,3225,23.19808816,0.152062312,0.955390335,0.687614327,0.046640082,Alta,5649,,False,Varianza no estimable,2025,3,3225
13,3010,27.41430605,0.083558719,0.923558719,0.649039146,0.030870094,Alta,14050,,False,Varianza no estimable,2025,3,3010
14,6880,41.97151043,0.062520272,0.297194291,0.369679605,0.051435249,Media,36996,,False,Varianza no estimable,2025,3,6880
15,3225,39.80289919,0.169242906,0.905110569,0.680102557,0.021898374,Alta,40563,,False,Varianza no estimable,2025,3,3225
16,6966,34.37868125,0.020313424,0.922885866,0.599881727,0.027052407,Alta,33820,,False,Varianza no estimable,2025,3,6966
17,0,44.510833,0.17130938,0.832054905,0.667788095,0.047374919,Alta,7431,,False,Varianza no estimable,2025,3,0
18,7740,37.08645662,0.230401672,0.724951471,0.524812105,0.057345594,Alta,6697,,False,Varianza no estimable,2025,3,7740
19,9000,41.92123133,0.371208692,0.129923042,0.186811529,0.061807376,Media,2209,,False,Varianza no estimable,2025,3,9000
20,2580,24.0224288,0,0.937140328,0.624760218,0.040924547,Alta,6777,,False,Varianza no estimable,2025,3,2580
21,4300,37.21496514,0.155617318,0.881400196,0.653984075,0.035053417,Alta,41737,,False,Varianza no estimable,2025,3,4300
22,7740,47.97228957,0.354780048,0.372618635,0.491484817,0.117033778,Media,11548,,False,Varianza no estimable,2025,3,7740
23,6450,41.08895899,0.411987382,0.47192429,0.49064143,0.076578129,Media,1585,,False,Varianza no estimable,2025,3,6450
24,5366,30.66286295,0.072534177,0.760140097,0.556961549,0.053368461,Alta,8851,,False,Varianza no estimable,2025,3,5366
25,6020,35.59181524,0.02082658,0.691896272,0.49632631,0.055980586,Alta,12340,,False,Varianza no estimable,2025,3,6020
26,9030,39.50253257,0.07318266,0.557026583,0.332297016,0.040530912,Media,28627,,False,Varianza no estimable,2025,3,9030
27,6020,30.668121,0,0.872309482,0.537230948,0.059371267,Alta,3438,,False,Varianza no estimable,2025,3,6020
28,5375,37.83697537,0.038848422,0.901491502,0.546884033,0.092715846,Alta,2883,,False,Varianza no estimable,2025,3,5375
29,5160,33.77668631,0.073564724,0.75944117,0.603652769,0.036360749,Alta,4581,,False,Varianza no estimable,2025,3,5160
30,3870,29.85705492,0.00826628,0.882821088,0.587594718,0.035765077,Alta,22743,,False,Varianza no estimable,2025,3,3870
31,6450,38.86117936,0.091728092,0.386568387,0.402538903,0.105300617,Alta,2442,,False,Varianza no estimable,2025,3,6450
32,4644,30.52836569,0.02705072,1,0.675683573,0.008994349,Alta,7985,,False,Varianza no estimable,2025,3,4644
