ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision,anio,trimestre,cve_ent
25.0,5160,33.57687494786018,0.0295319929924084,0.5909735546842413,0.4227079335947276,0.0522556810634661,Media,11987,,False,Varianza no estimable,2024,3,
26.0,8600,41.304280755881216,0.0977907553302848,0.543496226103245,0.3268323141057425,0.0569899291162205,Baja,18151,,False,Varianza no estimable,2024,3,
27.0,5160,37.56946624803768,0.2607927786499215,0.8567503924646782,0.5824175824175823,0.0586278974114295,Alta,5096,,False,Varianza no estimable,2024,3,
28.0,4300,25.3298689561681,0.184365115228197,0.7234523271577045,0.5437565898478687,0.1209412644950794,Alta,4426,,False,Varianza no estimable,2024,3,
29.0,4128,39.34224724372508,0.1285479709125029,0.8714520290874971,0.6592384080068808,0.0225145073827266,Alta,4263,,False,Varianza no estimable,2024,3,
30.0,3870,29.69916978136473,0.08675950120729,0.933681738497668,0.6543732565959933,0.0339569729777038,Alta,30233,,False,Varianza no estimable,2024,3,
31.0,4300,40.27725118483412,0.1853080568720379,0.5471563981042654,0.5158767772511849,0.0621203764609313,Alta,4220,,False,Varianza no estimable,2024,3,
32.0,5375,33.07902147131291,0.1129883843717001,0.8892115452305526,0.6470432946145723,0.0273649286021123,Alta,11364,,False,Varianza no estimable,2024,3,
,6000,44.126254180602,0.1747491638795986,0.782608695652174,0.6059085841694537,0.0414169522687419,Alta,2392,,False,Varianza no estimable,2025,3,1.0
,9460,42.94357173881569,0.228825828869263,0.5551614304328941,0.402321316538777,0.0348175002972284,Media,27628,,False,Varianza no estimable,2025,3,2.0
,8600,42.275545350172216,0.1171067738231917,0.3457438084303756,0.2709529276693455,0.0589644993475664,Baja,6097,,False,Varianza no estimable,2025,3,3.0
,4128,35.43366834170854,0.2135678391959799,0.6914572864321608,0.5281407035175879,0.0959624308201864,Alta,1990,,False,Varianza no estimable,2025,3,4.0
,8600,40.80516194331984,0.1571356275303644,0.4276315789473684,0.3507085020242915,0.1186845705800279,Alta,3952,,False,Varianza no estimable,2025,3,5.0
,7525,37.588102209209474,0.1603673143465531,0.7406175139739154,0.4920592671457723,0.0351156799865977,Alta,7514,,False,Varianza no estimable,2025,3,6.0
,5375,31.11702889897301,0.110819202292811,0.8846429424408885,0.6599793010110659,0.00533279198943,Alta,4187,,False,Varianza no estimable,2025,3,7.0
,7740,39.494693323460446,0.1158213007528076,0.7339874120696038,0.4801513842609732,0.0664879229658996,Alta,16206,,False,Varianza no estimable,2025,3,8.0
,6000,22.20264317180617,0.0,1.0,0.6666666666666666,0.0,Alta,227,,False,Baja cobertura poblacional,2025,3,9.0
,7310,41.04892576047649,0.2510104233141885,0.6528398213146139,0.4803233354605403,0.0906785231831156,Alta,4701,,False,Varianza no estimable,2025,3,10.0
,6450,38.78041067588649,0.1610237382468271,0.5684530083906059,0.5157763067279447,0.0421606683164006,Alta,23717,,False,Varianza no estimable,2025,3,11.0
,3225,23.198088157195965,0.152062311913613,0.9553903345724908,0.6876143270195315,0.0466400824012149,Alta,5649,,False,Varianza no estimable,2025,3,12.0
,3010,27.414306049822063,0.0835587188612099,0.92355871886121,0.6490391459074734,0.0308700938467636,Alta,14050,,False,Varianza no estimable,2025,3,13.0
,6880,41.97151043356038,0.0625202724618877,0.2971942912747324,0.3696796050023426,0.0514352488295233,Media,36996,,False,Varianza no estimable,2025,3,14.0
,3225,39.802899193846606,0.1692429060966891,0.9051105687449154,0.6801025565170229,0.0218983741571925,Alta,40563,,False,Varianza no estimable,2025,3,15.0
,6966,34.37868125369604,0.0203134240094618,0.9228858663512716,0.5998817267888823,0.0270524066125203,Alta,33820,,False,Varianza no estimable,2025,3,16.0
,0,44.51083299690486,0.1713093796258915,0.83205490512717,0.6677880949176871,0.0473749190355411,Alta,7431,,False,Varianza no estimable,2025,3,17.0
,7740,37.08645662236823,0.2304016723906226,0.7249514708078244,0.5248121049226021,0.0573455936195416,Alta,6697,,False,Varianza no estimable,2025,3,18.0
,9000,41.92123132639203,0.3712086917157084,0.1299230421004979,0.186811528595141,0.0618073761758865,Media,2209,,False,Varianza no estimable,2025,3,19.0
,2580,24.0224288033053,0.0,0.9371403275785748,0.6247602183857164,0.0409245465982384,Alta,6777,,False,Varianza no estimable,2025,3,20.0
,4300,37.21496513884563,0.1556173179672712,0.8814001964683614,0.6539840748815998,0.0350534168869753,Alta,41737,,False,Varianza no estimable,2025,3,21.0
,7740,47.9722895739522,0.3547800484932455,0.3726186352615172,0.491484816995728,0.1170337775684444,Media,11548,,False,Varianza no estimable,2025,3,22.0
,6450,41.08895899053628,0.41198738170347,0.4719242902208202,0.4906414300736067,0.0765781291340362,Media,1585,,False,Varianza no estimable,2025,3,23.0
,5366,30.662862953338607,0.0725341769291605,0.7601400971641623,0.5569615486009113,0.0533684607129047,Alta,8851,,False,Varianza no estimable,2025,3,24.0
,6020,35.591815235008106,0.0208265802269043,0.6918962722852512,0.4963263101026472,0.0559805862913352,Alta,12340,,False,Varianza no estimable,2025,3,25.0
,9030,39.502532574143295,0.0731826597268313,0.5570265832954903,0.3322970156379176,0.0405309121822297,Media,28627,,False,Varianza no estimable,2025,3,26.0
,6020,30.66812100058173,0.0,0.8723094822571262,0.5372309482257126,0.0593712669914437,Alta,3438,,False,Varianza no estimable,2025,3,27.0
,5375,37.83697537287548,0.038848421782865,0.901491501907735,0.5468840328361659,0.0927158459103267,Alta,2883,,False,Varianza no estimable,2025,3,28.0
,5160,33.77668631303209,0.0735647238594193,0.7594411700502074,0.6036527686822382,0.0363607487747642,Alta,4581,,False,Varianza no estimable,2025,3,29.0
,3870,29.857054917996745,0.0082662797344237,0.8828210878072374,0.5875947177886236,0.0357650765037308,Alta,22743,,False,Varianza no estimable,2025,3,30.0
,6450,38.86117936117936,0.0917280917280917,0.3865683865683866,0.4025389025389025,0.1053006167000151,Alta,2442,,False,Varianza no estimable,2025,3,31.0
,4644,30.528365685660614,0.0270507201001878,1.0,0.6756835733667292,0.0089943493502799,Alta,7985,,False,Varianza no estimable,2025,3,32.0
